candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason
1774,16,64,8,14,12,16,1048576,8,56,8,4,32,3,35,168,21,29,32,64,8432,1,
1313,16,63,7,17,12,16,65536,9,54,9,4,32,3,35,204,26,35,32,64,8480,1,
1314,16,63,7,17,12,16,1048576,9,54,9,4,32,3,35,204,26,35,32,64,8480,1,
71,16,60,6,33,10,256,65536,10,50,10,8,16,2,18,330,42,51,32,64,8512,1,
72,16,60,6,33,10,256,1048576,10,50,10,8,16,2,18,330,42,51,32,64,8512,1,
1789,16,64,8,17,10,16,65536,8,56,8,4,32,3,35,170,22,30,32,64,8512,1,
1790,16,64,8,17,10,16,1048576,8,56,8,4,32,3,35,170,22,30,32,64,8512,1,
2437,16,66,6,17,14,16,65536,11,55,11,4,32,3,35,238,30,39,32,64,8512,1,
2438,16,66,6,17,14,16,1048576,11,55,11,4,32,3,35,238,30,39,32,64,8512,1,
2471,16,66,6,33,10,256,65536,11,55,11,8,16,2,18,330,42,51,32,64,8608,1,
2472,16,66,6,33,10,256,1048576,11,55,11,8,16,2,18,330,42,51,32,64,8608,1,
1819,16,64,8,22,14,256,65536,8,56,8,8,16,2,18,308,39,47,32,64,8624,1,
1820,16,64,8,22,14,256,1048576,8,56,8,8,16,2,18,308,39,47,32,64,8624,1,
1341,16,63,7,33,6,16,65536,9,54,9,4,32,3,35,198,25,34,32,64,8640,1,
